rep,arm,leg,ns_per_op
16,B-branch,settings-d1,0.814
16,B-branch,settings-d8,0.821
16,B-branch,stream-store,77.487
16,B-branch,plain-write,52.615
16,B-branch,control-codec,22.942
16,B-branch,settings-d1,0.808
16,B-branch,settings-d8,0.813
16,B-branch,stream-store,76.59
16,B-branch,plain-write,51.85
16,B-branch,control-codec,22.714
16,B-branch,settings-d1,0.806
16,B-branch,settings-d8,0.81
16,B-branch,stream-store,76.175
16,B-branch,plain-write,51.682
16,B-branch,control-codec,22.796
17,A-main,settings-d1,0.834
17,A-main,settings-d8,0.795
17,A-main,stream-store,76.691
17,A-main,plain-write,53.169
17,A-main,control-codec,22.874
17,A-main,settings-d1,0.82
17,A-main,settings-d8,0.823
17,A-main,stream-store,77.173
17,A-main,plain-write,53.877
17,A-main,control-codec,22.938
17,A-main,settings-d1,0.816
17,A-main,settings-d8,0.81
17,A-main,stream-store,76.387
17,A-main,plain-write,53.329
17,A-main,control-codec,22.783
17,B-branch,settings-d1,0.802
17,B-branch,settings-d8,0.809
17,B-branch,stream-store,75.905
17,B-branch,plain-write,64.048
17,B-branch,control-codec,23.645
17,B-branch,settings-d1,0.845
17,B-branch,settings-d8,0.804
17,B-branch,stream-store,76.886
17,B-branch,plain-write,63.156
17,B-branch,control-codec,23.425
17,B-branch,settings-d1,0.807
17,B-branch,settings-d8,0.803
17,B-branch,stream-store,75.821
17,B-branch,plain-write,63.426
17,B-branch,control-codec,23.521
18,A-main,settings-d1,0.801
18,A-main,settings-d8,0.8
18,A-main,stream-store,76.849
18,A-main,plain-write,53.21
18,A-main,control-codec,22.962
18,A-main,settings-d1,0.812
18,A-main,settings-d8,0.808
18,A-main,stream-store,76.162
18,A-main,plain-write,53.457
18,A-main,control-codec,23.217
18,A-main,settings-d1,0.805
18,A-main,settings-d8,0.807
18,A-main,stream-store,76.481
18,A-main,plain-write,53.375
18,A-main,control-codec,25.516
18,B-branch,settings-d1,0.817
18,B-branch,settings-d8,0.802
18,B-branch,stream-store,77.03
18,B-branch,plain-write,52.081
18,B-branch,control-codec,22.622
18,B-branch,settings-d1,0.807
18,B-branch,settings-d8,0.807
18,B-branch,stream-store,76.45
18,B-branch,plain-write,52.165
18,B-branch,control-codec,22.801
18,B-branch,settings-d1,0.805
18,B-branch,settings-d8,0.81
18,B-branch,stream-store,76.577
18,B-branch,plain-write,52.335
18,B-branch,control-codec,23.02
19,A-main,settings-d1,0.826
19,A-main,settings-d8,0.815
19,A-main,stream-store,77.437
19,A-main,plain-write,52.987
19,A-main,control-codec,23.659
19,A-main,settings-d1,0.813
19,A-main,settings-d8,0.807
19,A-main,stream-store,78.091
19,A-main,plain-write,53.378
19,A-main,control-codec,23.797
19,A-main,settings-d1,0.812
19,A-main,settings-d8,0.808
19,A-main,stream-store,77.205
19,A-main,plain-write,53.245
19,A-main,control-codec,23.706
19,B-branch,settings-d1,0.818
19,B-branch,settings-d8,0.809
19,B-branch,stream-store,77.867
19,B-branch,plain-write,53.051
19,B-branch,control-codec,23.802
19,B-branch,settings-d1,0.813
